chromosome	start	end	major_is_allele_a	length	major_readcount	minor_readcount	readcount	allele_ratio	major_depth	minor_depth	total_depth	major_0	minor_0	major_1	minor_1	major_2	minor_2	major_raw	minor_raw	major_depth_e	minor_depth_e	total_depth_e	major_e	minor_e	total_e	major_raw_e	minor_raw_e	major_diff	minor_diff	prob_is_outlier_total	prob_is_outlier_allele	total_likelihood_mask	allele_likelihood_mask
chr1	10000	207666	1	11225.1014673924	2231	1023	18147	0.31438229870928086	1.1084001745075491	0.5082444547383337	1.6166446292458827	1	1	4	0	5	1	18.63760667379023	8.092961926109433	0.32611141581123054	0.09844866030637033	0.4245600761176008	3660.6337321560572	1105.0962012678535	4765.729933423911	4.892912123967513	0.8929121239675124	1	1	0.010000000000000004	0.010000000000000004	0	0
chr1	257666	297968	1	1589.6934059544883	869	331	7535	0.2758333333333333	3.4324831523453843	1.3074245378898992	4.739907690235284	1	1	4	0	5	1	59.4713912369964	22.134434478426044	0.32611141581123054	0.09844866030637033	0.4245600761176008	518.4171673215955	156.50318611409028	674.9203534356857	4.892912123967513	0.8929121239675124	1	1	0.010000000000000004	0.010000000000000004	0	0
chr1	347968	500000	1	111.36144603484124	47	16	862	0.25396825396825395	5.774703795406601	1.965856611202247	7.740560406608848	1	1	4	0	5	1	100.62385182049687	33.702985897426885	0.32611141581123054	0.09844866030637033	0.4245600761176008	36.31623883320802	10.963385171910275	47.27962400511829	4.892912123967513	0.8929121239675124	1	1	0.010000000000000004	0.010000000000000004	0	0
chr1	500000	535988	1	170.24300447413063	165	103	2005	0.3843283582089552	7.2509390068866075	4.526343743692851	11.777282750579458	1	1	4	0	5	1	126.56108003696713	78.69035551460507	0.32611141581123054	0.09844866030637033	0.4245600761176008	55.5181872210164	16.76019571700957	72.27838293802596	4.892912123967513	0.8929121239675124	1	1	0.010000000000000004	0.010000000000000004	0	0
chr1	585988	1000000	1	202768.4578535843	14922	3792	89360	0.2026290477717217	0.35140114515527654	0.08929856201774618	0.44069970717302276	1	1	4	0	5	1	5.33724882345029	0.7321462882324037	0.32611141581123054	0.09844866030637033	0.4245600761176008	66125.1088724922	19962.28302807409	86087.39190056628	4.892912123967513	0.8929121239675124	1	1	0.0020991632422989993	0.09171547884214416	1	1
chr1	1000000	1499043	1	527084.8280473126	20206	5456	149413	0.21261008495051048	0.22320181328901603	0.06026868718721526	0.2834705004762313	1	1	4	0	3	0	3.0848060541977023	0.22209580120996786	0.2244699985281599	0.04762795166483502	0.27209795019299493	118314.73057599567	25103.97071350528	143418.70128950095	3.1070878760324874	0.0	1	0	0.0026403490158533713	0.7772893713097705	1	1
chr1	1499043	1500000	1	523.1251716710889	0	0	128	0.0	0.24468331277409658	0.0	0.24468331277409658	1	1	4	0	3	0	3.4622327340679977	-0.8368158693189189	0.2244699985281599	0.04762795166483502	0.27209795019299493	117.42590651505272	24.915380391009144	142.34128690606187	3.1070878760324874	0.0	1	0	0.010000000000000004	0.010000000000000004	0	0
chr1	1500000	2000000	1	474231.8515495433	21351	4850	143175	0.18510743864737986	0.24602363188056034	0.05588565475250422	0.30190928663306454	1	1	4	0	3	0	3.485781936984241	0.14508658773556676	0.2244699985281599	0.04762795166483502	0.27209795019299493	106450.82301933254	22586.691703526867	129037.5147228594	3.1070878760324874	0.0	1	0	0.807701107748811	0.0019240282457557846	1	1
chr1	2000000	2500000	1	554262.0826830895	24878	5380	157123	0.1778042170665609	0.23307722472459902	0.050404191213857336	0.2834814159384564	1	1	4	0	3	0	3.258315531647072	0.0487781067722875	0.2244699985281599	0.04762795166483502	0.27209795019299493	124415.20888408796	26398.367683680983	150813.57656776893	3.1070878760324874	0.0	1	0	0.0026484875787597174	0.0010763560432218951	1	1
chr1	2500000	2702781	1	173666.2193558197	6954	1485	56689	0.17596871667259154	0.26898443228523045	0.057440592744257585	0.326425025029488	1	1	4	0	3	0	3.889199709096376	0.17240661183533956	0.2244699985281599	0.04762795166483502	0.27209795019299493	38982.85600319194	8271.366301293616	47254.22230448556	3.1070878760324874	0.0	1	0	0.9999999969004246	0.001108482546287048	1	1
